loan_id,gender,married,dependents,education,self_employed,applicantincome,coapplicantincome,loanamount,loan_amount_term,credit_history,property_area,loan_status
lp001370,male,no,0,not graduate,,7333,0.0,120.0,360.0,1.0,rural,n
lp001379,male,yes,2,graduate,no,3800,3600.0,216.0,360.0,0.0,urban,n
lp001384,male,yes,3+,not graduate,no,2071,754.0,94.0,480.0,1.0,semiurban,y
lp001385,male,no,0,graduate,no,5316,0.0,136.0,360.0,1.0,urban,y
lp001387,female,yes,0,graduate,,2929,2333.0,139.0,360.0,1.0,semiurban,y
lp001391,male,yes,0,not graduate,no,3572,4114.0,152.0,,0.0,rural,n
lp001392,female,no,1,graduate,yes,7451,0.0,,360.0,1.0,semiurban,y
lp001398,male,no,0,graduate,,5050,0.0,118.0,360.0,1.0,semiurban,y
lp001401,male,yes,1,graduate,no,14583,0.0,185.0,180.0,1.0,rural,y
lp001404,female,yes,0,graduate,no,3167,2283.0,154.0,360.0,1.0,semiurban,y
lp001405,male,yes,1,graduate,no,2214,1398.0,85.0,360.0,,urban,y
lp001421,male,yes,0,graduate,no,5568,2142.0,175.0,360.0,1.0,rural,n
lp001422,female,no,0,graduate,no,10408,0.0,259.0,360.0,1.0,urban,y
lp001426,male,yes,,graduate,no,5667,2667.0,180.0,360.0,1.0,rural,y
lp001430,female,no,0,graduate,no,4166,0.0,44.0,360.0,1.0,semiurban,y
lp001431,female,no,0,graduate,no,2137,8980.0,137.0,360.0,0.0,semiurban,y
lp001432,male,yes,2,graduate,no,2957,0.0,81.0,360.0,1.0,semiurban,y
lp001439,male,yes,0,not graduate,no,4300,2014.0,194.0,360.0,1.0,rural,y
lp001443,female,no,0,graduate,no,3692,0.0,93.0,360.0,,rural,y
lp001448,,yes,3+,graduate,no,23803,0.0,370.0,360.0,1.0,rural,y
lp001449,male,no,0,graduate,no,3865,1640.0,,360.0,1.0,rural,y
lp001451,male,yes,1,graduate,yes,10513,3850.0,160.0,180.0,0.0,urban,n
lp001465,male,yes,0,graduate,no,6080,2569.0,182.0,360.0,,rural,n
lp001469,male,no,0,graduate,yes,20166,0.0,650.0,480.0,,urban,y
lp001473,male,no,0,graduate,no,2014,1929.0,74.0,360.0,1.0,urban,y
lp001478,male,no,0,graduate,no,2718,0.0,70.0,360.0,1.0,semiurban,y
lp001482,male,yes,0,graduate,yes,3459,0.0,25.0,120.0,1.0,semiurban,y
lp001487,male,no,0,graduate,no,4895,0.0,102.0,360.0,1.0,semiurban,y
lp001488,male,yes,3+,graduate,no,4000,7750.0,290.0,360.0,1.0,semiurban,n
lp001489,female,yes,0,graduate,no,4583,0.0,84.0,360.0,1.0,rural,n
lp001491,male,yes,2,graduate,yes,3316,3500.0,88.0,360.0,1.0,urban,y
lp001492,male,no,0,graduate,no,14999,0.0,242.0,360.0,0.0,semiurban,n
lp001493,male,yes,2,not graduate,no,4200,1430.0,129.0,360.0,1.0,rural,n
lp001497,male,yes,2,graduate,no,5042,2083.0,185.0,360.0,1.0,rural,n
lp001498,male,no,0,graduate,no,5417,0.0,168.0,360.0,1.0,urban,y
lp001504,male,no,0,graduate,yes,6950,0.0,175.0,180.0,1.0,semiurban,y
lp001507,male,yes,0,graduate,no,2698,2034.0,122.0,360.0,1.0,semiurban,y
lp001508,male,yes,2,graduate,no,11757,0.0,187.0,180.0,1.0,urban,y
lp001514,female,yes,0,graduate,no,2330,4486.0,100.0,360.0,1.0,semiurban,y
lp001516,female,yes,2,graduate,no,14866,0.0,70.0,360.0,1.0,urban,y
lp001518,male,yes,1,graduate,no,1538,1425.0,30.0,360.0,1.0,urban,y
lp001519,female,no,0,graduate,no,10000,1666.0,225.0,360.0,1.0,rural,n
lp001520,male,yes,0,graduate,no,4860,830.0,125.0,360.0,1.0,semiurban,y
lp001528,male,no,0,graduate,no,6277,0.0,118.0,360.0,0.0,rural,n
lp001529,male,yes,0,graduate,yes,2577,3750.0,152.0,360.0,1.0,rural,y
lp001531,male,no,0,graduate,no,9166,0.0,244.0,360.0,1.0,urban,n
lp001532,male,yes,2,not graduate,no,2281,0.0,113.0,360.0,1.0,rural,n
lp001535,male,no,0,graduate,no,3254,0.0,50.0,360.0,1.0,urban,y
lp001536,male,yes,3+,graduate,no,39999,0.0,600.0,180.0,0.0,semiurban,y
lp001541,male,yes,1,graduate,no,6000,0.0,160.0,360.0,,rural,y
lp001543,male,yes,1,graduate,no,9538,0.0,187.0,360.0,1.0,urban,y
lp001546,male,no,0,graduate,,2980,2083.0,120.0,360.0,1.0,rural,y
lp001552,male,yes,0,graduate,no,4583,5625.0,255.0,360.0,1.0,semiurban,y
lp001560,male,yes,0,not graduate,no,1863,1041.0,98.0,360.0,1.0,semiurban,y
lp001562,male,yes,0,graduate,no,7933,0.0,275.0,360.0,1.0,urban,n
lp001565,male,yes,1,graduate,no,3089,1280.0,121.0,360.0,0.0,semiurban,n
lp001570,male,yes,2,graduate,no,4167,1447.0,158.0,360.0,1.0,rural,y
lp001572,male,yes,0,graduate,no,9323,0.0,75.0,180.0,1.0,urban,y
lp001574,male,yes,0,graduate,no,3707,3166.0,182.0,,1.0,rural,y
lp001577,female,yes,0,graduate,no,4583,0.0,112.0,360.0,1.0,rural,n
lp001578,male,yes,0,graduate,no,2439,3333.0,129.0,360.0,1.0,rural,y
lp001579,male,no,0,graduate,no,2237,0.0,63.0,480.0,0.0,semiurban,n
lp001580,male,yes,2,graduate,no,8000,0.0,200.0,360.0,1.0,semiurban,y
lp001581,male,yes,0,not graduate,,1820,1769.0,95.0,360.0,1.0,rural,y
lp001585,,yes,3+,graduate,no,51763,0.0,700.0,300.0,1.0,urban,y
lp001586,male,yes,3+,not graduate,no,3522,0.0,81.0,180.0,1.0,rural,n
lp001594,male,yes,0,graduate,no,5708,5625.0,187.0,360.0,1.0,semiurban,y
lp001603,male,yes,0,not graduate,yes,4344,736.0,87.0,360.0,1.0,semiurban,n
lp001606,male,yes,0,graduate,no,3497,1964.0,116.0,360.0,1.0,rural,y
lp001608,male,yes,2,graduate,no,2045,1619.0,101.0,360.0,1.0,rural,y
lp001610,male,yes,3+,graduate,no,5516,11300.0,495.0,360.0,0.0,semiurban,n
lp001616,male,yes,1,graduate,no,3750,0.0,116.0,360.0,1.0,semiurban,y
lp001630,male,no,0,not graduate,no,2333,1451.0,102.0,480.0,0.0,urban,n
lp001633,male,yes,1,graduate,no,6400,7250.0,180.0,360.0,0.0,urban,n
lp001634,male,no,0,graduate,no,1916,5063.0,67.0,360.0,,rural,n
lp001636,male,yes,0,graduate,no,4600,0.0,73.0,180.0,1.0,semiurban,y
lp001637,male,yes,1,graduate,no,33846,0.0,260.0,360.0,1.0,semiurban,n
lp001639,female,yes,0,graduate,no,3625,0.0,108.0,360.0,1.0,semiurban,y
lp001640,male,yes,0,graduate,yes,39147,4750.0,120.0,360.0,1.0,semiurban,y
lp001641,male,yes,1,graduate,yes,2178,0.0,66.0,300.0,0.0,rural,n
lp001643,male,yes,0,graduate,no,2383,2138.0,58.0,360.0,,rural,y
lp001644,,yes,0,graduate,yes,674,5296.0,168.0,360.0,1.0,rural,y
lp001647,male,yes,0,graduate,no,9328,0.0,188.0,180.0,1.0,rural,y
lp001653,male,no,0,not graduate,no,4885,0.0,48.0,360.0,1.0,rural,y
lp001656,male,no,0,graduate,no,12000,0.0,164.0,360.0,1.0,semiurban,n
lp001657,male,yes,0,not graduate,no,6033,0.0,160.0,360.0,1.0,urban,n
lp001658,male,no,0,graduate,no,3858,0.0,76.0,360.0,1.0,semiurban,y
lp001664,male,no,0,graduate,no,4191,0.0,120.0,360.0,1.0,rural,y
lp001665,male,yes,1,graduate,no,3125,2583.0,170.0,360.0,1.0,semiurban,n
lp001666,male,no,0,graduate,no,8333,3750.0,187.0,360.0,1.0,rural,y
lp001669,female,no,0,not graduate,no,1907,2365.0,120.0,,1.0,urban,y
lp001671,female,yes,0,graduate,no,3416,2816.0,113.0,360.0,,semiurban,y
lp001673,male,no,0,graduate,yes,11000,0.0,83.0,360.0,1.0,urban,n
lp001674,male,yes,1,not graduate,no,2600,2500.0,90.0,360.0,1.0,semiurban,y
lp001677,male,no,2,graduate,no,4923,0.0,166.0,360.0,0.0,semiurban,y
lp001682,male,yes,3+,not graduate,no,3992,0.0,,180.0,1.0,urban,n
lp001688,male,yes,1,not graduate,no,3500,1083.0,135.0,360.0,1.0,urban,y
lp001691,male,yes,2,not graduate,no,3917,0.0,124.0,360.0,1.0,semiurban,y
lp001692,female,no,0,not graduate,no,4408,0.0,120.0,360.0,1.0,semiurban,y
lp001693,female,no,0,graduate,no,3244,0.0,80.0,360.0,1.0,urban,y
lp001698,male,no,0,not graduate,no,3975,2531.0,55.0,360.0,1.0,rural,y
lp001699,male,no,0,graduate,no,2479,0.0,59.0,360.0,1.0,urban,y
lp001702,male,no,0,graduate,no,3418,0.0,127.0,360.0,1.0,semiurban,n
lp001708,female,no,0,graduate,no,10000,0.0,214.0,360.0,1.0,semiurban,n
lp001711,male,yes,3+,graduate,no,3430,1250.0,128.0,360.0,0.0,semiurban,n
lp001713,male,yes,1,graduate,yes,7787,0.0,240.0,360.0,1.0,urban,y
lp001715,male,yes,3+,not graduate,yes,5703,0.0,130.0,360.0,1.0,rural,y
lp001716,male,yes,0,graduate,no,3173,3021.0,137.0,360.0,1.0,urban,y
lp001720,male,yes,3+,not graduate,no,3850,983.0,100.0,360.0,1.0,semiurban,y
lp001722,male,yes,0,graduate,no,150,1800.0,135.0,360.0,1.0,rural,n
lp001726,male,yes,0,graduate,no,3727,1775.0,131.0,360.0,1.0,semiurban,y
lp001732,male,yes,2,graduate,,5000,0.0,72.0,360.0,0.0,semiurban,n
lp001734,female,yes,2,graduate,no,4283,2383.0,127.0,360.0,,semiurban,y
lp001736,male,yes,0,graduate,no,2221,0.0,60.0,360.0,0.0,urban,n
lp001743,male,yes,2,graduate,no,4009,1717.0,116.0,360.0,1.0,semiurban,y
lp001744,male,no,0,graduate,no,2971,2791.0,144.0,360.0,1.0,semiurban,y
lp001749,male,yes,0,graduate,no,7578,1010.0,175.0,,1.0,semiurban,y
lp001750,male,yes,0,graduate,no,6250,0.0,128.0,360.0,1.0,semiurban,y
lp001751,male,yes,0,graduate,no,3250,0.0,170.0,360.0,1.0,rural,n
lp001754,male,yes,,not graduate,yes,4735,0.0,138.0,360.0,1.0,urban,n
lp001758,male,yes,2,graduate,no,6250,1695.0,210.0,360.0,1.0,semiurban,y
lp001760,male,,,graduate,no,4758,0.0,158.0,480.0,1.0,semiurban,y
lp001761,male,no,0,graduate,yes,6400,0.0,200.0,360.0,1.0,rural,y
lp001765,male,yes,1,graduate,no,2491,2054.0,104.0,360.0,1.0,semiurban,y
lp001768,male,yes,0,graduate,,3716,0.0,42.0,180.0,1.0,rural,y
lp001770,male,no,0,not graduate,no,3189,2598.0,120.0,,1.0,rural,y
lp001776,female,no,0,graduate,no,8333,0.0,280.0,360.0,1.0,semiurban,y
lp001778,male,yes,1,graduate,no,3155,1779.0,140.0,360.0,1.0,semiurban,y
lp001784,male,yes,1,graduate,no,5500,1260.0,170.0,360.0,1.0,rural,y
lp001786,male,yes,0,graduate,,5746,0.0,255.0,360.0,,urban,n
lp001788,female,no,0,graduate,yes,3463,0.0,122.0,360.0,,urban,y
lp001790,female,no,1,graduate,no,3812,0.0,112.0,360.0,1.0,rural,y
lp001792,male,yes,1,graduate,no,3315,0.0,96.0,360.0,1.0,semiurban,y
lp001798,male,yes,2,graduate,no,5819,5000.0,120.0,360.0,1.0,rural,y
lp001800,male,yes,1,not graduate,no,2510,1983.0,140.0,180.0,1.0,urban,n
lp001806,male,no,0,graduate,no,2965,5701.0,155.0,60.0,1.0,urban,y
lp001807,male,yes,2,graduate,yes,6250,1300.0,108.0,360.0,1.0,rural,y
lp001811,male,yes,0,not graduate,no,3406,4417.0,123.0,360.0,1.0,semiurban,y
lp001813,male,no,0,graduate,yes,6050,4333.0,120.0,180.0,1.0,urban,n
lp001814,male,yes,2,graduate,no,9703,0.0,112.0,360.0,1.0,urban,y
lp001819,male,yes,1,not graduate,no,6608,0.0,137.0,180.0,1.0,urban,y
lp001824,male,yes,1,graduate,no,2882,1843.0,123.0,480.0,1.0,semiurban,y
lp001825,male,yes,0,graduate,no,1809,1868.0,90.0,360.0,1.0,urban,y
lp001835,male,yes,0,not graduate,no,1668,3890.0,201.0,360.0,0.0,semiurban,n
lp001836,female,no,2,graduate,no,3427,0.0,138.0,360.0,1.0,urban,n
lp001841,male,no,0,not graduate,yes,2583,2167.0,104.0,360.0,1.0,rural,y
lp001843,male,yes,1,not graduate,no,2661,7101.0,279.0,180.0,1.0,semiurban,y
lp001844,male,no,0,graduate,yes,16250,0.0,192.0,360.0,0.0,urban,n
lp001846,female,no,3+,graduate,no,3083,0.0,255.0,360.0,1.0,rural,y
lp001849,male,no,0,not graduate,no,6045,0.0,115.0,360.0,0.0,rural,n
lp001854,male,yes,3+,graduate,no,5250,0.0,94.0,360.0,1.0,urban,n
lp001859,male,yes,0,graduate,no,14683,2100.0,304.0,360.0,1.0,rural,n
lp001864,male,yes,3+,not graduate,no,4931,0.0,128.0,360.0,,semiurban,n
lp001865,male,yes,1,graduate,no,6083,4250.0,330.0,360.0,,urban,y
lp001868,male,no,0,graduate,no,2060,2209.0,134.0,360.0,1.0,semiurban,y
lp001870,female,no,1,graduate,no,3481,0.0,155.0,36.0,1.0,semiurban,n
lp001871,female,no,0,graduate,no,7200,0.0,120.0,360.0,1.0,rural,y
lp001872,male,no,0,graduate,yes,5166,0.0,128.0,360.0,1.0,semiurban,y
lp001875,male,no,0,graduate,no,4095,3447.0,151.0,360.0,1.0,rural,y
lp001877,male,yes,2,graduate,no,4708,1387.0,150.0,360.0,1.0,semiurban,y
lp001882,male,yes,3+,graduate,no,4333,1811.0,160.0,360.0,0.0,urban,y
lp001883,female,no,0,graduate,,3418,0.0,135.0,360.0,1.0,rural,n
lp001884,female,no,1,graduate,no,2876,1560.0,90.0,360.0,1.0,urban,y
lp001888,female,no,0,graduate,no,3237,0.0,30.0,360.0,1.0,urban,y
lp001891,male,yes,0,graduate,no,11146,0.0,136.0,360.0,1.0,urban,y
lp001892,male,no,0,graduate,no,2833,1857.0,126.0,360.0,1.0,rural,y
lp001894,male,yes,0,graduate,no,2620,2223.0,150.0,360.0,1.0,semiurban,y
lp001896,male,yes,2,graduate,no,3900,0.0,90.0,360.0,1.0,semiurban,y
lp001900,male,yes,1,graduate,no,2750,1842.0,115.0,360.0,1.0,semiurban,y
lp001903,male,yes,0,graduate,no,3993,3274.0,207.0,360.0,1.0,semiurban,y
lp001904,male,yes,0,graduate,no,3103,1300.0,80.0,360.0,1.0,urban,y
lp001907,male,yes,0,graduate,no,14583,0.0,436.0,360.0,1.0,semiurban,y
lp001908,female,yes,0,not graduate,no,4100,0.0,124.0,360.0,,rural,y
lp001910,male,no,1,not graduate,yes,4053,2426.0,158.0,360.0,0.0,urban,n
lp001914,male,yes,0,graduate,no,3927,800.0,112.0,360.0,1.0,semiurban,y
lp001915,male,yes,2,graduate,no,2301,985.7999878,78.0,180.0,1.0,urban,y
lp001917,female,no,0,graduate,no,1811,1666.0,54.0,360.0,1.0,urban,y
lp001922,male,yes,0,graduate,no,20667,0.0,,360.0,1.0,rural,n
lp001924,male,no,0,graduate,no,3158,3053.0,89.0,360.0,1.0,rural,y
lp001925,female,no,0,graduate,yes,2600,1717.0,99.0,300.0,1.0,semiurban,n
lp001926,male,yes,0,graduate,no,3704,2000.0,120.0,360.0,1.0,rural,y
lp001931,female,no,0,graduate,no,4124,0.0,115.0,360.0,1.0,semiurban,y
lp001935,male,no,0,graduate,no,9508,0.0,187.0,360.0,1.0,rural,y
lp001936,male,yes,0,graduate,no,3075,2416.0,139.0,360.0,1.0,rural,y
lp001938,male,yes,2,graduate,no,4400,0.0,127.0,360.0,0.0,semiurban,n
lp001940,male,yes,2,graduate,no,3153,1560.0,134.0,360.0,1.0,urban,y
lp001945,female,no,,graduate,no,5417,0.0,143.0,480.0,0.0,urban,n
lp001947,male,yes,0,graduate,no,2383,3334.0,172.0,360.0,1.0,semiurban,y
lp001949,male,yes,3+,graduate,,4416,1250.0,110.0,360.0,1.0,urban,y
lp001953,male,yes,1,graduate,no,6875,0.0,200.0,360.0,1.0,semiurban,y
lp001954,female,yes,1,graduate,no,4666,0.0,135.0,360.0,1.0,urban,y
lp001955,female,no,0,graduate,no,5000,2541.0,151.0,480.0,1.0,rural,n
lp001963,male,yes,1,graduate,no,2014,2925.0,113.0,360.0,1.0,urban,n
lp001964,male,yes,0,not graduate,no,1800,2934.0,93.0,360.0,0.0,urban,n
lp001972,male,yes,,not graduate,no,2875,1750.0,105.0,360.0,1.0,semiurban,y
lp001974,female,no,0,graduate,no,5000,0.0,132.0,360.0,1.0,rural,y
lp001977,male,yes,1,graduate,no,1625,1803.0,96.0,360.0,1.0,urban,y
lp001978,male,no,0,graduate,no,4000,2500.0,140.0,360.0,1.0,rural,y
lp001990,male,no,0,not graduate,no,2000,0.0,,360.0,1.0,urban,n
lp001993,female,no,0,graduate,no,3762,1666.0,135.0,360.0,1.0,rural,y
lp001994,female,no,0,graduate,no,2400,1863.0,104.0,360.0,0.0,urban,n
lp001996,male,no,0,graduate,no,20233,0.0,480.0,360.0,1.0,rural,n
lp001998,male,yes,2,not graduate,no,7667,0.0,185.0,360.0,,rural,y
lp002002,female,no,0,graduate,no,2917,0.0,84.0,360.0,1.0,semiurban,y
lp002004,male,no,0,not graduate,no,2927,2405.0,111.0,360.0,1.0,semiurban,y
lp002006,female,no,0,graduate,no,2507,0.0,56.0,360.0,1.0,rural,y
lp002008,male,yes,2,graduate,yes,5746,0.0,144.0,84.0,,rural,y
lp002024,,yes,0,graduate,no,2473,1843.0,159.0,360.0,1.0,rural,n
lp002031,male,yes,1,not graduate,no,3399,1640.0,111.0,180.0,1.0,urban,y
lp002035,male,yes,2,graduate,no,3717,0.0,120.0,360.0,1.0,semiurban,y
lp002036,male,yes,0,graduate,no,2058,2134.0,88.0,360.0,,urban,y
lp002043,female,no,1,graduate,no,3541,0.0,112.0,360.0,,semiurban,y
lp002050,male,yes,1,graduate,yes,10000,0.0,155.0,360.0,1.0,rural,n
lp002051,male,yes,0,graduate,no,2400,2167.0,115.0,360.0,1.0,semiurban,y
lp002053,male,yes,3+,graduate,no,4342,189.0,124.0,360.0,1.0,semiurban,y
lp002054,male,yes,2,not graduate,no,3601,1590.0,,360.0,1.0,rural,y
lp002055,female,no,0,graduate,no,3166,2985.0,132.0,360.0,,rural,y
